epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4856,0.73378,2.57356,1.23528,0.00333,1,0.04441,0.02838,0.73009,3.25934,1.37918,2e-05,2e-05,2e-05
2,40.6308,0.6215,2.51093,1.0799,0.00333,1,0.1264,0.10035,0.68108,3.20119,1.20771,5.703e-05,5.703e-05,5.703e-05
3,55.0315,0.71968,2.67383,1.32993,0.00333,1,0.76479,0.65659,0.63123,3.15548,1.12715,9.01e-05,9.01e-05,9.01e-05
4,68.4344,0.60091,2.40653,1.15352,0.00333,1,0.94389,0.75733,0.58754,3.18083,1.11965,0.00011921,0.00011921,0.00011921
5,81.7203,0.52035,2.27435,1.07415,0.00333,1,0.96389,0.77259,0.59766,3.18389,1.07224,0.00014436,0.00014436,0.00014436
6,93.7896,0.55162,2.11207,1.06628,0.00333,1,0.9775,0.74094,0.5946,3.14545,1.08297,0.00016555,0.00016555,0.00016555
7,106.22,0.58513,2.03313,1.14367,0.00333,1,0.995,0.77718,0.55265,3.16498,1.0639,0.00018278,0.00018278,0.00018278
8,119.747,0.60995,1.88623,1.10706,0.00333,1,0.995,0.77154,0.55514,3.13549,1.09366,0.00019605,0.00019605,0.00019605
9,132.34,0.59678,1.77139,1.14328,0.00333,1,0.9775,0.793,0.59861,3.12666,1.11804,0.00020536,0.00020536,0.00020536
10,144.68,0.48417,1.69988,1.0016,0.00333,1,0.995,0.80314,0.62672,3.13896,1.09222,0.00021071,0.00021071,0.00021071
11,158.469,0.43268,1.84518,1.00486,0.00333,1,0.995,0.79714,0.65759,3.10843,1.09613,0.0002121,0.0002121,0.0002121
12,173.309,0.46282,1.77307,1.13265,0.00333,1,0.86833,0.66827,0.66535,3.1036,1.16178,0.00020953,0.00020953,0.00020953
13,188,0.40794,1.6888,0.97593,0.00333,1,0.86833,0.67293,0.67199,3.07543,1.1971,0.000203,0.000203,0.000203
14,200.782,0.52187,1.74416,1.10465,0.00333,1,0.824,0.56866,0.68326,3.09962,1.24772,0.00019251,0.00019251,0.00019251
15,213.125,0.44194,1.66078,1.05275,0.00333,1,0.86833,0.654,0.75914,2.98261,1.28995,0.00017806,0.00017806,0.00017806
16,224.991,0.4385,1.65541,1.00085,0.00618,1,0.86833,0.67476,0.77141,2.96135,1.31797,0.00015965,0.00015965,0.00015965
17,237.148,0.47517,1.63376,0.95552,0.00807,1,0.9425,0.76319,0.73501,2.93069,1.26824,0.00013728,0.00013728,0.00013728
18,249.333,0.44814,1.54088,1.00026,0.00628,1,0.995,0.78962,0.73419,2.93304,1.25442,0.00011095,0.00011095,0.00011095
19,261.968,0.40389,1.52014,0.94866,0.00641,1,0.995,0.79528,0.74036,2.93261,1.24456,8.066e-05,8.066e-05,8.066e-05
20,274.215,0.42059,1.49713,0.99336,0.00858,1,0.995,0.7927,0.74773,2.92586,1.23776,4.641e-05,4.641e-05,4.641e-05
